nome,quota_m_s,giacitura,tecnologia,longitude,latitude,coord_E,coord_N,coord_NU,coord_EU,data inizi,data fine,conformita,altezzapl,altezzate,presenza e,presenza_1,presenza_2,presenza_3,presenza_4
FAEDIS,"158",versante SW,MICROS,"13.352288150196564","46.1345542256367","2392731","5110336","5110313","372727",13/09/1990,,PARZIALE,"150","200",RR_ok,LOC,LOC,RAP,
FAGAGNA,"202",pianura,CAE,"13.0981430587262","46.11436124907211","2373046","5108531",,,16/11/2006,,PARZIALE,"250","500",RR_ok,LOC,,,
FAGAGNA,"148",pianura,MICROS,"13.073852852552564","46.10172305415504","2371135","5107172","5107148","351131",13/09/1990,,SI,"150","200",RR_ok,RAP,RAP,RAP,
FARRA D'ISONZO,"57",terrazzo/pianoro,CAE,"13.534304265378701","45.90837378184047","2406328","5084930",,,02/09/1992,,PARZIALE,"100",,RR_suff,,,,
FIUMICELLO SAN LORENZO,"2",pianura,CAE,"13.404815734622884","45.76612258438746","2395969","5069318",,,18/05/2012,,SI,"250","160",RR_ok,RAP,,,
FORCATE,"40",pianura,CAE,"12.588572774809862","45.99846491695061","2333280","5096723",,,31/01/1991,,PARZIALE,"250","350",RR_suff,LOC,,,
FORCELLA SAVALONS,"1935",terrazzo/pianoro,CAE,"12.485976147177633","46.34917035872292","2326570","5135935",,,11/11/2009,,PARZIALE,"300","900",RR_suff,LOC,ALT,,RAP
FORNI AVOLTRI,"888",fondovalle,CAE,"12.773723379381615","46.58674768681173","2349454","5161670",,,19/05/1999,,PARZIALE,"200","400",RR_ok,LOC,,,
FORNI DI SOPRA,"845",fondovalle,CAE,"12.587618046175237","46.404785098589464","2334579","5141871",,,15/11/2000,,NO,"250","400",RR_suff,ALT,,,
FORNI DI SOPRA,"922",fondovalle,MICROS,"12.59365483014399","46.40980832214764","2335060","5142415","5142392","315056",26/06/2004,,SI,"220","220",RR_ok,RAP,RAP,RAP,RAP
FORNI DI SOTTO,"660",fondovalle,CAE,"12.714730822324558","46.39282671251754","2344311","5140252",,,19/06/2002,,PARZIALE,"250",,RR_ok,,,,
FOSSALON DI GRADO,"0",pianura,MICROS,"13.458840623484448","45.71479551402625","2400060","5063533","5063511","380055",22/07/1990,,SI,"150","200",RR_ok,RAP,RAP,RAP,
FUSINE,"850",fondovalle,MICROS,"13.672170675448331","46.49140280380295","2418105","5149524","5149501","398101",29/04/2010,11:11:20.000,PARZIALE,"200","250",RR_ok,RAP,,,RAP
FUSINE ALPE DEL LAGO,"1007",fondovalle,CAE,"13.662023309904487","46.466832752180736","2417280","5146807",,,16/09/2008,,PARZIALE,"300","900",RR_ok,LOC,ALT,,RAP
FUSINE VALICO,"849",fondovalle,CAE,"13.686835234322642","46.49604492310465","2419239","5150021",,,25/06/2013,,PARZIALE,"250","180",RR_ok,RAP,RAP,RAP,RAP
GEMONA,"184",pianura,MICROS,"13.12205355256006","46.261313982271496","2375280","5124815","5124792","355276",27/07/1999,,SI,"150","200",RR_ok,RAP,RAP,RAP,
GEMONA DEL FRIULI,"307",versante W,CAE,"13.141132672804313","46.278824831308015","2376796","5126726",,,29/09/1999,,NO,"410","400",RR_alt,ALT,,,
GORGO,"5",pianura,MICROS,"13.02187425741372","45.736261791032696","2366110","5066666","5066643","346106",28/07/2008,,PARZIALE,"150","220",RR_ok,LOC,LOC,RAP,
GORIZIA AEREOPORTO,"68",pianura,CAE,"13.595456289087432","45.910420101874664","2411075","5085072",,,22/02/1995,,PARZIALE,"250","900",RR_suff,ALT,RAP,RAP,
GRADISCA D'IS.,"29",pianura,MICROS,"13.481780706747578","45.88982191997598","2402215","5082945","5082922","382210",10/08/1990,,SI,"150","200",RR_ok,RAP,RAP,RAP,
GRADO - MARE,"0",costa/mare,MICROS,"13.396520098726423","45.671399996451406","2395113","5058807","5058784","375109",19/07/2006,,SI,"700","700",RR_alt,RAP,RAP,RAP,
GRADO BOA METEO,"0",costa/mare,CAE,"13.360036881483168","45.60927126151277","2392130","5051962",,,31/01/2007,,SI,,,,RAP,RAP,,
GRADO MAREA,"12",costa/mare,CAE,"13.383393113671811","45.68319494652117","2394117","5060138",,,21/01/1998,,PARZIALE,"350",,RR_alt,,,,
GRADO METEO,"0",costa/mare,CAE,"13.373252865881009","45.68038672598256","2393321","5059842",,,22/01/1998,,PARZIALE,,"900",,RAP,RAP,,
GRAN MONTE,"1422",versante N,CAE,"13.350790388198272","46.29070951677141","2392976","5127689",,,17/09/2008,,PARZIALE,"300","900",RR_ok,LOC,ALT,,RAP
GRIONS,"95",pianura,CAE,"12.981714924165372","46.047597948849074","2363861","5101335",,,10/02/2010,,NO,"250","200",RR_suff,ALT,,,
ISONZO BOA METEO,"0",costa/mare,CAE,"13.546800439773401","45.67071995392392","2406817","5058508",,,08/03/2004,,SI,,,,RAP,RAP,,
LA BAITA METEO,"50",pianura,CAE,"13.51263350526238","45.94686733374235","2404727","5089238",,,15/11/2001,,PARZIALE,"250","150",RR_ok,ALT,LOC,RAP,
LATISANA TAGL.1,"11",pianura,CAE,"12.996925877915821","45.77289179454267","2364271","5070784",,,07/12/1994,,NO,"250","400",RR_alt,ALT,LOC,,
LAUZACCO,"60",pianura,MICROS,"13.272502215468194","45.98207291191185","2386200","5093525","5093502","366196",18/06/2008,,PARZIALE,"150","200",RR_ok,LOC,LOC,,
LESTIZZA,"45",pianura,CAE,"13.135320375229258","45.95122276847615","2375494","5090337",,,22/01/1992,,PARZIALE,"220","150",RR_suff,LOC,ALT,ALT,
LIGNANO,"7",costa/mare,MICROS,"13.147045840127719","45.70194446454409","2375760","5062620","5062597","355756",01/07/1999,,PARZIALE,,,RR_alt,LOC,RAP,RAP,
LIGNANO BOA,"0",costa/mare,CAE,"13.167082622287976","45.619838374744475","2377111","5053462",,,14/11/2002,,SI,,,,RAP,RAP,,
LIGNANO SABBIADORO,"15",pianura,CAE,"13.12109932086241","45.68656121647234","2373700","5060958",,,06/02/2007,,NO,,,RR_alt,ALT,LOC,RAP,
LIVINAL LUNC,"1837",versante N,CAE,"13.469695872219514","46.37508055213689","2402316","5136880",,,03/10/2007,,PARZIALE,"300","900",RR_suff,LOC,LOC,ALT,RAP
MAGNANO IN RIVIERA,"184",pianura,CAE,"13.161286250647759","46.228508014773276","2378219","5121099",,,18/06/2002,,NO,"250",,RR_ok,,,,
MALBORGHETTO F.FELLA,"733",fondovalle,CAE,"13.441740484877188","46.50789760199721","2400457","5151680",,,12/05/2004,,NO,"200","400",RR_alt,ALT,,,
MALGA ACOMIZZA,"1729",versante SE,CAE,"13.515395068881068","46.54816048269036","2406192","5156045",,,20/09/2007,,PARZIALE,"300","900",RR_suff,LOC,LOC,,RAP
MALGA CJAMPIUZ,"1710",versante N,CAE,"12.678957081221565","46.35121007320398","2341425","5135708",,,20/09/2007,,PARZIALE,"350","900",RR_suff,LOC,LOC,,RAP
MALGA CJARIGUART,"1666",versante NW,CAE,"13.187704179003354","46.36023871656866","2380591","5135689",,,19/09/2007,,NO,"350","900",RR_suff,ALT,LOC,,ALT
MALGA PLOTTA,"1983",terrazzo/pianoro,CAE,"12.899735189331894","46.59433362536137","2359130","5162248",,,24/09/2007,,SI,"300","900",RR_ok,LOC,LOC,,RAP
MALGA REST,"1520",versante SW,CAE,"12.798508880722752","46.34821170126647","2350614","5135112",,,27/10/2009,,NO,"300","900",RR_alt,ALT,LOC,,RAP
MALGA VALINE,"1346",versante N,CAE,"12.67609540801361","46.23592440815575","2340829","5122905",,,28/10/2009,,PARZIALE,"300","900",RR_ok,LOC,LOC,,RAP
MALGHE MERSINO - MATAJUR,"1479",terrazzo/pianoro,CAE,"13.52427973794762","46.21228908797975","2406177","5118712",,,24/11/2011,,PARZIALE,"250","400",RR_suff,LOC,,,RAP
MANIAGO,"283",pianura,CAE,"12.718663078976391","46.17395227464031","2343913","5115924",,,18/07/1990,,PARZIALE,"220",,RR_ok,,,,
MANZANO,"60",pianura,CAE,"13.390767083817245","45.991639369770226","2395382","5094396",,,27/10/1993,,NO,"250",,RR_suff,,,,
MEDUNO,"323",fondovalle,CAE,"12.773164185065154","46.21793126533316","2348257","5120691",,,23/09/1999,,NO,"250","400",RR_alt,ALT,,,
MOGGIO UDINESE,"310",fondovalle,CAE,"13.185068783053477","46.400146960487014","2380490","5140128",,,03/05/1995,,NO,"250","400",RR_suff,ALT,,,
MONFALCONE MARE,"3",costa/mare,CAE,"13.548800877074342","45.781444752261685","2407196","5070807",,,09/10/2007,,PARZIALE,,"600",,RAP,RAP,RAP,
MONFALCONE MARINA NOVA,"0",pianura,MICROS,"13.536514799478393","45.78050493441726","2406239","5070720","5070697","386235",16/06/2006,,PARZIALE,"150","250",RR_ok,LOC,ALT,RAP,
MONFALCONE PLUVIO,"4",pianura,CAE,"13.511466818001516","45.796544311939805","2404325","5072538",,,29/07/2009,,PARZIALE,"250","180",RR_ok,LOC,,,
MONTE LUSSARI,"1760",vetta,MICROS,"13.52041421610192","46.48248406104113","2406440","5148740","5148717","386436",01/10/1993,,PARZIALE,,,RR_suff,RAP,RAP,RAP,
MONTE MATAJUR,"1630",vetta,MICROS,"13.5290661881351","46.21170279845224","2406545","5118640","5118617","386541",28/06/2000,,PARZIALE,,,,RAP,LOC,RAP,
MONTE PRAT,"776",vetta,CAE,"12.993136295653198","46.24112266700502","2365288","5122815",,,30/12/2012,,PARZIALE,"480","270",RR_alt,ALT,RAP,RAP,ALT
MONTE SAN SIMEONE,"1505",vetta,MICROS,"13.10610272231336","46.34384997998451","2374270","5134015","5133992","354266",15/06/2000,09:07:20.000,SI,,,,RAP,RAP,RAP,
MONTE ZONCOLAN,"1750",vetta,MICROS,"12.926219871322528","46.50236392388339","2360890","5151975","5151952","340886",26/01/1993,,SI,"250","300",RR_ok,RAP,RAP,RAP,RAP
MONTEMAGGIORE,"1085",versante SW,CAE,"13.532881812755504","46.19450789229546","2406804","5116724",,,26/10/1993,,NO,"200","200",RR_ok,ALT,,,
MUGGIA,"26",versante NE,CAE,"13.775733528894053","45.600686143525635","2424530","5050429",,,28/09/2006,,NO,"250","160",RR_suff,ALT,,,
